protocol,ip_version,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,src2dst_syn_packets,dst2src_ack_packets,dst2src_rst_packets,application_is_guessed,application_confidence,Label
6,4,1703261991666,1703261991779,113,2,120,1703261991666,1703261991666,0,1,60,1703261991779,1703261991779,1,60,60,60.0,60,60,60.0,60,60,60.0,60,113,113.0,0.0,113,0,0.0,0.0,0,1,1,1,1,1,1,0,0,Aggressive_Scan
6,4,1703261991667,1703261991784,117,2,120,1703261991667,1703261991667,0,1,60,1703261991784,1703261991784,1,60,60,60.0,60,60,60.0,60,60,60.0,60,117,117.0,0.0,117,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261991667,1703261991785,118,2,120,1703261991667,1703261991667,0,1,60,1703261991785,1703261991785,1,60,60,60.0,60,60,60.0,60,60,60.0,60,118,118.0,0.0,118,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261991667,1703261991796,129,2,120,1703261991667,1703261991667,0,1,60,1703261991796,1703261991796,1,60,60,60.0,60,60,60.0,60,60,60.0,60,129,129.0,0.0,129,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261991667,1703261991805,138,2,120,1703261991667,1703261991667,0,1,60,1703261991805,1703261991805,1,60,60,60.0,60,60,60.0,60,60,60.0,60,138,138.0,0.0,138,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261994650,1703261994742,92,2,120,1703261994650,1703261994650,0,1,60,1703261994742,1703261994742,1,60,60,60.0,60,60,60.0,60,60,60.0,60,92,92.0,0.0,92,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261994650,1703261994742,92,2,120,1703261994650,1703261994650,0,1,60,1703261994742,1703261994742,1,60,60,60.0,60,60,60.0,60,60,60.0,60,92,92.0,0.0,92,0,0.0,0.0,0,1,1,1,1,1,1,0,0,Aggressive_Scan
6,4,1703261994650,1703261994743,93,2,120,1703261994650,1703261994650,0,1,60,1703261994743,1703261994743,1,60,60,60.0,60,60,60.0,60,60,60.0,60,93,93.0,0.0,93,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261994650,1703261994743,93,2,120,1703261994650,1703261994650,0,1,60,1703261994743,1703261994743,1,60,60,60.0,60,60,60.0,60,60,60.0,60,93,93.0,0.0,93,0,0.0,0.0,0,1,1,1,1,1,1,0,0,Aggressive_Scan
6,4,1703261994650,1703261994744,94,2,120,1703261994650,1703261994650,0,1,60,1703261994744,1703261994744,1,60,60,60.0,60,60,60.0,60,60,60.0,60,94,94.0,0.0,94,0,0.0,0.0,0,1,1,1,1,1,1,0,0,Aggressive_Scan
6,4,1703261994746,1703261994750,4,2,120,1703261994746,1703261994746,0,1,60,1703261994750,1703261994750,1,60,60,60.0,60,60,60.0,60,60,60.0,60,4,4.0,0.0,4,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261994746,1703261994751,5,2,120,1703261994746,1703261994746,0,1,60,1703261994751,1703261994751,1,60,60,60.0,60,60,60.0,60,60,60.0,60,5,5.0,0.0,5,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261994746,1703261994752,6,2,120,1703261994746,1703261994746,0,1,60,1703261994752,1703261994752,1,60,60,60.0,60,60,60.0,60,60,60.0,60,6,6.0,0.0,6,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
6,4,1703261994746,1703261994757,11,3,180,1703261994746,1703261994757,11,2,120,1703261994753,1703261994753,1,60,60,60.0,60,60,60.0,60,60,60.0,60,4,5.5,2.1213203435596424,7,11,11.0,0.0,11,2,1,1,1,1,0,1,1,Aggressive_Scan
6,4,1703261994746,1703261994753,7,2,120,1703261994746,1703261994746,0,1,60,1703261994753,1703261994753,1,60,60,60.0,60,60,60.0,60,60,60.0,60,7,7.0,0.0,7,0,0.0,0.0,0,1,1,1,1,1,1,1,1,Aggressive_Scan
