,Charging Current (A),Actual Pilot (A),Voltage (V),Charging State,Energy Delivered (kWh),Power (kW)
2020-08-31T23:30:12+00:00,1.1,8.0,211.5,ADAPTIVE,1.3888888888899998e-06,0.002
2020-08-31T23:30:16+00:00,1.1,8.0,211.5,ADAPTIVE,2.27777777778e-05,0.005
2020-08-31T23:30:20+00:00,2.2,8.0,211.4,ADAPTIVE,0.000162222222222,0.374
2020-08-31T23:30:24+00:00,8.8,8.0,210.4,ADAPTIVE,0.0011969444444400001,1.8259999999999998
2020-08-31T23:30:28+00:00,7.0,8.0,210.6,ADAPTIVE,0.00288694444444,1.4669999999999999
2020-08-31T23:30:32+00:00,7.0,8.0,210.8,ADAPTIVE,0.00448777777778,1.4569999999999999
2020-08-31T23:30:36+00:00,7.1,8.0,210.6,ADAPTIVE,0.00608361111111,1.466
2020-08-31T23:30:40+00:00,7.0,8.0,210.2,ADAPTIVE,0.0076863888888899995,1.4669999999999999
2020-08-31T23:30:43+00:00,7.0,8.0,210.5,ADAPTIVE,0.00928472222222,1.4569999999999999
2020-08-31T23:30:47+00:00,7.1,8.0,210.6,ADAPTIVE,0.010888611111099998,1.474
2020-08-31T23:30:51+00:00,7.0,8.0,210.8,ADAPTIVE,0.0124866666667,1.46
2020-08-31T23:30:55+00:00,7.0,8.0,210.8,ADAPTIVE,0.0140852777778,1.462
2020-08-31T23:30:59+00:00,7.0,8.0,210.3,ADAPTIVE,0.0156891666667,1.462
2020-08-31T23:31:03+00:00,7.0,8.0,210.5,ADAPTIVE,0.017285,1.464
2020-08-31T23:31:07+00:00,7.1,8.0,210.5,ADAPTIVE,0.018889444444399998,1.466
2020-08-31T23:31:11+00:00,7.0,8.0,210.8,ADAPTIVE,0.020486666666699998,1.464
2020-08-31T23:31:15+00:00,7.0,8.0,210.7,ADAPTIVE,0.022091666666699997,1.4589999999999999
2020-08-31T23:31:19+00:00,7.0,8.0,210.5,ADAPTIVE,0.023689722222199998,1.452
2020-08-31T23:31:23+00:00,7.0,8.0,210.8,ADAPTIVE,0.0252880555556,1.46
2020-08-31T23:31:27+00:00,7.0,8.0,210.7,ADAPTIVE,0.0268925,1.4649999999999999
2020-08-31T23:31:31+00:00,7.0,8.0,210.7,ADAPTIVE,0.028491666666699996,1.468
2020-08-31T23:31:35+00:00,7.0,8.0,210.7,ADAPTIVE,0.0300983333333,1.466
2020-08-31T23:31:39+00:00,7.0,8.0,210.7,ADAPTIVE,0.031697499999999997,1.4629999999999999
2020-08-31T23:31:43+00:00,7.0,8.0,210.6,ADAPTIVE,0.0332983333333,1.46
2020-08-31T23:31:47+00:00,7.0,8.0,210.8,ADAPTIVE,0.0349036111111,1.4569999999999999
2020-08-31T23:31:51+00:00,7.0,8.0,211.0,ADAPTIVE,0.036502222222199995,1.4649999999999999
2020-08-31T23:31:54+00:00,7.1,8.0,210.6,ADAPTIVE,0.03810694444439999,1.47
2020-08-31T23:31:58+00:00,7.0,8.0,210.4,ADAPTIVE,0.0397069444444,1.4569999999999999
2020-08-31T23:32:02+00:00,7.0,8.0,210.4,ADAPTIVE,0.0413061111111,1.464
2020-08-31T23:32:06+00:00,7.5,8.0,210.6,ADAPTIVE,0.0429141666667,1.5539999999999998
2020-08-31T23:32:10+00:00,7.1,8.0,210.7,ADAPTIVE,0.044513333333299994,1.47
2020-08-31T23:32:14+00:00,0.0,0.0,,UNPLUGGED,0.0,0.0
