,Charging Current (A),Actual Pilot (A),Voltage (V),Charging State,Energy Delivered (kWh),Power (kW)
2020-09-30T19:41:16.295699+00:00,0.0,0.0,,,0.0,0.0
2020-09-30T19:41:21.299128+00:00,0.0,0.0,,,0.0,0.0
2020-09-30T19:41:26.298663+00:00,0.0,0.0,,,0.0,0.0
2020-09-30T19:41:31.298462+00:00,0.0,0.0,,,0.0,0.0
2020-09-30T19:41:38.882308+00:00,0.0,125.0,,,0.0,0.0
2020-09-30T19:41:48.889006+00:00,1.7,125.0,,,0.0,0.6049
2020-09-30T19:41:58.887006+00:00,113.6,125.0,,,0.08,42.386900000000004
2020-09-30T19:42:08.891443+00:00,123.9,125.0,,,0.209,46.5709
2020-09-30T19:42:18.896302+00:00,124.1,125.0,,,0.339,46.8639
2020-09-30T19:42:28.897752+00:00,123.8,125.0,,,0.47100000000000003,46.907199999999996
2020-09-30T19:42:38.901060+00:00,124.1,125.0,,,0.603,47.2052
2020-09-30T19:42:48.903038+00:00,123.9,125.0,,,0.734,47.286300000000004
2020-09-30T19:42:58.905083+00:00,123.8,125.0,,,0.867,47.3572
2020-09-30T19:43:08.909432+00:00,124.1,125.0,,,0.999,47.625800000000005
2020-09-30T19:43:18.912335+00:00,124.0,124.0,,,1.1320000000000001,47.707300000000004
2020-09-30T19:43:28.914978+00:00,121.9,125.0,,,1.2650000000000001,46.9799
2020-09-30T19:43:38.919987+00:00,123.1,123.0,,,1.397,47.5825
2020-09-30T19:43:48.921968+00:00,121.7,124.0,,,1.5290000000000001,47.125800000000005
2020-09-30T19:43:58.923957+00:00,122.1,122.0,,,1.6620000000000001,47.3663
2020-09-30T19:44:08.926923+00:00,119.2,121.0,,,1.793,46.3165
2020-09-30T19:44:18.929385+00:00,120.7,121.0,,,1.923,46.9627
2020-09-30T19:44:28.932671+00:00,119.0,121.0,,,2.053,46.315400000000004
2020-09-30T19:44:38.944658+00:00,121.1,121.0,,,2.184,47.2244
2020-09-30T19:44:48.939819+00:00,117.9,118.0,,,2.315,46.021800000000006
2020-09-30T19:44:58.942851+00:00,118.0,117.0,,,2.445,46.1307
2020-09-30T19:45:08.944315+00:00,115.9,120.0,,,2.572,45.3369
2020-09-30T19:45:18.947286+00:00,111.0,125.0,,,2.695,43.4067
2020-09-30T19:45:28.949714+00:00,110.1,125.0,,,2.817,43.0822
2020-09-30T19:45:38.954822+00:00,107.7,125.0,,,2.936,42.139
2020-09-30T19:45:48.956340+00:00,104.1,125.0,,,3.051,40.7117
2020-09-30T19:45:58.964476+00:00,102.1,125.0,,,3.1630000000000003,39.9647
2020-09-30T19:46:08.963347+00:00,99.8,125.0,,,3.274,39.0379
2020-09-30T19:46:18.966071+00:00,99.0,125.0,,,3.382,38.7557
2020-09-30T19:46:28.969529+00:00,96.0,125.0,,,3.487,37.5474
2020-09-30T19:46:38.973624+00:00,95.9,125.0,,,3.591,37.5252
2020-09-30T19:46:48.974115+00:00,93.1,125.0,,,3.694,36.4144
2020-09-30T19:46:58.978757+00:00,91.9,125.0,,,3.795,35.9582
2020-09-30T19:47:08.981699+00:00,89.8,125.0,,,3.892,35.124
2020-09-30T19:47:18.984064+00:00,90.1,125.0,,,3.99,35.272400000000005
2020-09-30T19:47:28.986267+00:00,86.0,125.0,,,4.087,33.6306
2020-09-30T19:47:38.999184+00:00,86.0,125.0,,,4.181,33.6341
2020-09-30T19:47:48.992861+00:00,86.1,125.0,,,4.275,33.6849
2020-09-30T19:47:59.002431+00:00,83.8,125.0,,,4.367,32.77
