,Charging Current (A),Actual Pilot (A),Voltage (V),Charging State,Energy Delivered (kWh),Power (kW)
2020-11-17T01:00:27.310672+00:00,0.0,0.0,,,,0.0
2020-11-17T01:00:32.311321+00:00,0.0,0.0,,,,0.0
2020-11-17T01:00:37.315018+00:00,0.0,0.0,,,,0.0
2020-11-17T01:00:42.317775+00:00,0.0,0.0,,,,0.0
2020-11-17T01:00:47.316668+00:00,0.0,0.0,,,,0.0
2020-11-17T01:00:52.318128+00:00,0.0,0.0,,,,0.0
2020-11-17T01:00:57.318744+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:02.323594+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:07.323434+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:12.330189+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:17.330666+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:22.329931+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:27.333634+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:32.340187+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:37.340014+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:42.346863+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:47.343793+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:52.348169+00:00,0.0,0.0,,,,0.0
2020-11-17T01:01:57.351804+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:02.352292+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:07.355382+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:12.358717+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:17.358866+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:22.363439+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:27.365698+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:32.367428+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:37.370341+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:42.373873+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:47.374011+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:52.375165+00:00,0.0,0.0,,,,0.0
2020-11-17T01:02:57.375953+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:02.376290+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:07.379988+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:12.378340+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:17.378071+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:22.380321+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:27.382978+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:32.392079+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:37.386070+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:42.387858+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:47.387693+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:52.387306+00:00,0.0,0.0,,,,0.0
2020-11-17T01:03:57.391955+00:00,0.0,0.0,,,,0.0
2020-11-17T01:04:02.394870+00:00,0.0,0.0,,,,0.0
